image_name,center_x,center_y,width,height
test_0071.jpg,638,489,36,29
test_0071.jpg,1425,405,35,30
test_0072.jpg,244,513,63,49
test_0072.jpg,1076,528,36,30
test_0066.jpg,542,492,75,56
test_0087.jpg,789,519,38,30
test_0087.jpg,585,583,41,30
test_0050.jpg,397,233,206,153
test_0033.jpg,403,429,45,37
test_0033.jpg,1075,544,34,28
test_0057.jpg,267,332,53,42
test_0078.jpg,131,291,51,39
test_0037.jpg,1211,665,37,30
test_0055.jpg,412,638,153,92
test_0055.jpg,1396,312,112,76
test_0024.jpg,1680,276,50,39
test_0043.jpg,1746,485,37,30
test_0031.jpg,144,626,37,30
test_0031.jpg,146,509,37,29
test_0092.jpg,739,629,33,26
test_0092.jpg,819,532,40,31
test_0093.jpg,699,237,44,37
test_0008.jpg,55,527,34,29
test_0008.jpg,50,650,38,30
test_0068.jpg,1097,621,37,30
test_0068.jpg,666,535,38,30
test_0029.jpg,1427,490,68,50
test_0029.jpg,688,412,35,29
test_0034.jpg,774,550,45,36
test_0034.jpg,869,482,36,29
test_0003.jpg,407,502,44,35
test_0094.jpg,787,410,57,44
test_0040.jpg,574,477,96,69
test_0032.jpg,1618,138,50,38
test_0060.jpg,1681,285,48,39
test_0067.jpg,483,473,40,32
test_0062.jpg,699,483,62,47
test_0062.jpg,1119,527,35,29
test_0077.jpg,128,291,55,43
test_0036.jpg,560,524,102,68
test_0053.jpg,763,266,49,40
test_0053.jpg,975,47,58,46
test_0082.jpg,579,453,117,83
test_0014.jpg,1290,580,33,27
test_0014.jpg,636,488,38,30
test_0086.jpg,563,540,113,76
test_0052.jpg,1107,584,66,48
test_0052.jpg,767,418,43,36
test_0064.jpg,1044,548,32,27
test_0015.jpg,547,560,34,28
test_0045.jpg,1387,206,48,37
test_0059.jpg,176,452,47,37
test_0021.jpg,1035,162,44,37
test_0046.jpg,602,822,121,78
test_0046.jpg,1108,186,132,102
test_0069.jpg,1884,430,42,36
test_0042.jpg,1067,549,34,29
test_0004.jpg,1047,480,47,38
test_0044.jpg,1242,288,46,39
test_0089.jpg,647,308,55,44
test_0047.jpg,761,233,49,40
test_0005.jpg,1708,520,37,31
test_0075.jpg,1606,507,34,29
test_0091.jpg,1485,409,38,33
test_0012.jpg,982,410,40,35
test_0012.jpg,1266,213,50,41
test_0006.jpg,1540,239,51,41
test_0006.jpg,1295,400,40,33
test_0016.jpg,177,226,62,49
